순서,투자연도,투자일자,투자금액,투자종류,업종코드,업종분류,소재지,기업구분
1,2014,2014-06-30,1000000000,우선주,C22213,플라스틱 시트 및 판 제조업,경기 광주시,중기업
2,2014,2014-06-30,900000000,우선주,J62021,컴퓨터시스템 통합 자문 및 구축 서비스업,대전 유성구,중기업
3,2014,2014-07-15,999982500,우선주,C26429,기타 무선 통신장비 제조업,경기 화성시,소기업
4,2014,2014-07-15,1000000000,우선주,C29199,그 외 기타 일반목적용 기계 제조업,전북 군산시,소기업
5,2014,2014-08-04,1000000000,우선주,C24212,"알루미늄 제련, 정련 및 합금 제조업",광주 광산구,중견기업
6,2014,2014-08-06,999990000,우선주,C20499,그 외 기타 분류 안된 화학제품 제조업,경기 시흥시,중기업
7,2014,2014-08-14,1000000000,우선주,C11112,맥아 및 맥주 제조업,강원 횡성군,소기업
8,2014,2014-09-22,999900000,우선주,J58221,시스템 소프트웨어 개발 및 공급업,서울 강남구,중기업
9,2014,2014-09-23,600000000,우선주,C14192,"근무복, 작업복 및 유사의복 제조업",서울 송파구,중기업
10,2014,2014-09-26,999600000,우선주,C26299,그 외 기타 전자부품 제조업,경북 구미시,중기업
11,2014,2014-10-06,900000000,우선주,C29271,반도체 제조용 기계 제조업,인천 부평구,소기업
12,2014,2014-10-16,1000000000,우선주,C25113,육상 금속 골조 구조재 제조업,충북 청주시,중기업
13,2014,2014-10-17,990000000,우선주,C28119,기타 전기 변환장치 제조업,경기 군포시,소기업
14,2014,2014-10-21,500000000,우선주,G46739,기타 화학물질 및 화학제품 도매업,서울 서초구,중기업
15,2014,2014-11-11,499975000,우선주,C25923,도장 및 기타 피막처리업,울산 북구,소기업
16,2014,2014-11-14,799995000,우선주,C20423,화장품 제조업,충북 제천시,소기업
17,2014,2014-11-27,1000000000,우선주,C30332,자동차용 신품 전기장치 제조업,경기 광주시,중기업
18,2014,2014-11-27,1000000000,우선주,C26410,유선 통신장비 제조업,경기 김포시,중기업
19,2014,2014-11-28,620000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 송파구,소기업
20,2014,2014-12-11,999950000,우선주,C22249,기타 기계ㆍ장비 조립용 플라스틱 제품 제조업,전남 장성군,소기업
21,2014,2014-12-18,1000000000,우선주,G46203,사료 도매업,서울 서초구,중기업
22,2014,2014-12-18,700000000,우선주,C22231,"플라스틱 포대, 봉투 및 유사제품 제조업",경남 산청군,중기업
23,2014,2014-12-19,1000000000,우선주,C29294,주형 및 금형 제조업,충북 청주시,중기업
24,2014,2014-12-19,999900000,우선주,C22249,기타 기계ㆍ장비 조립용 플라스틱 제품 제조업,경기 화성시,소기업
25,2014,2014-12-26,999900000,우선주,C23999,그 외 기타 분류 안된 비금속 광물제품 제조업,충남 보령시,소기업
26,2014,2014-12-26,800000000,우선주,C20313,유기질 비료 및 상토 제조업,전남 곡성군,소기업
27,2014,2014-12-31,700000000,우선주,C29172,공기 조화장치 제조업,경기 의왕시,중기업
28,2015,2015-01-19,1000000000,우선주,C27111,방사선 장치 제조업,경기 성남시,중기업
29,2015,2015-04-30,1000000000,우선주,C28111,전동기 및 발전기 제조업,경기 용인시,중기업
30,2015,2015-04-30,500000000,우선주,M71310,광고 대행업,경기 성남시,소기업
31,2015,2015-05-15,999990000,우선주,J62021,컴퓨터시스템 통합 자문 및 구축 서비스업,서울 중구,소기업
32,2015,2015-05-29,800000000,우선주,C17212,골판지 상자 및 가공제품 제조업,경북 포항시,소기업
33,2015,2015-05-29,500000000,우선주,C10501,액상시유 및 기타 낙농제품 제조업,경기 화성시,소기업
34,2015,2015-05-29,1000000000,우선주,C27301,광학렌즈 및 광학요소 제조업,광주 북구,소기업
35,2015,2015-06-24,1000000000,우선주,S96993,개인 간병 및 유사 서비스업,서울 강남구,중기업
36,2015,2015-06-25,1000000000,전환사채,G46711,고체연료 및 관련제품 도매업,충북 청주시,소기업
37,2015,2015-06-25,600000000,우선주,C13994,표면처리 및 적층 직물 제조업,대구 달성군,소기업
38,2015,2015-06-26,1000000000,우선주,C22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",경기 안산시,소기업
39,2015,2015-06-26,789999000,우선주,C27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",서울 마포구,소기업
40,2015,2015-06-29,999984000,우선주,C26429,기타 무선 통신장비 제조업,경기 의왕시,소기업
41,2015,2015-06-29,700000000,우선주,C21220,한의약품 제조업,대구 동구,소기업
42,2015,2015-06-30,990000000,우선주,C26429,기타 무선 통신장비 제조업,경기 성남시,소기업
43,2015,2015-08-28,999990000,우선주,C30201,차체 및 특장차 제조업,경기 안성시,소기업
44,2015,2015-08-31,1000000000,전환사채,C29230,금속 주조 및 기타 야금용 기계 제조업,인천 남동구,소기업
45,2015,2015-08-31,1000000000,전환사채,C14192,"근무복, 작업복 및 유사의복 제조업",서울 광진구,중기업
46,2015,2015-10-30,500000000,우선주,J58212,모바일 게임 소프트웨어 개발 및 공급업,경기 고양시,소기업
47,2015,2015-10-30,1000000000,우선주,C31114,선박 구성 부분품 제조업,경남 거제시,중기업
48,2015,2015-11-06,300000000,우선주,C26295,전자감지장치 제조업,대전 유성구,소기업
49,2015,2015-11-11,1000000000,우선주,C20501,합성섬유 제조업,경북 영천시,소기업
50,2015,2015-11-13,910000000,우선주,G46441,의약품 도매업,경기 성남시,중기업
51,2015,2015-11-27,610000000,우선주,M70130,자연과학 및 공학 융합 연구개발업,서울 동대문구,소기업
52,2015,2015-11-27,999950000,우선주,C26429,기타 무선 통신장비 제조업,서울 강남구,중기업
53,2015,2015-12-09,800000000,우선주,C29193,분사기 및 소화기 제조업,부산 강서구,소기업
54,2015,2015-12-17,660000000,우선주,G46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",서울 성동구,소기업
55,2015,2015-12-21,1490000000,우선주,C27301,광학렌즈 및 광학요소 제조업,경기 화성시,중기업
56,2015,2015-12-21,299880000,우선주,J63991,데이터베이스 및 온라인정보 제공업,경기 성남시,소기업
57,2015,2015-12-28,550000000,우선주,J59114,방송 프로그램 제작업,서울 영등포구,중기업
58,2016,2016-01-15,500000000,우선주,J61220,무선 및 위성 통신업,서울 강남구,소기업
59,2016,2016-01-15,1000000000,우선주,C28410,전구 및 램프 제조업,경기 남양주시,중기업
60,2016,2016-04-08,500000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 서초구,소기업
61,2016,2016-04-11,700000000,우선주,C31113,기타 선박 건조업,울산 울주군,소기업
62,2016,2016-04-21,800000000,우선주,C26429,기타 무선 통신장비 제조업,경기 성남시,소기업
63,2016,2016-05-04,500000000,우선주,C11209,기타 비알코올 음료 제조업,서울 영등포구,중기업
64,2016,2016-05-11,700000000,우선주,C20423,화장품 제조업,경기 용인시,소기업
65,2016,2016-05-13,999990000,우선주,C21210,완제 의약품 제조업,충북 청주시,중기업
66,2016,2016-05-17,999950000,우선주,C10220,수산식물 가공 및 저장 처리업,경기 김포시,소기업
67,2016,2016-05-18,700000000,우선주,M72919,"기타 기술 시험, 검사 및 분석업",경기 부천시,중기업
68,2016,2016-05-30,999999000,우선주,G46521,가전제품 및 부품 도매업,인천 연수구,중기업
69,2016,2016-06-13,800000000,우선주,C22249,기타 기계ㆍ장비 조립용 플라스틱 제품 제조업,경기 부천시,소기업
70,2016,2016-06-23,500000000,전환사채,C18119,기타 인쇄업,충남 천안시,중기업
71,2016,2016-06-24,1000000000,전환사채,C25112,구조용 금속 판제품 및 공작물 제조업,경기 화성시,중기업
72,2016,2016-06-24,1000000000,전환사채,C10501,액상시유 및 기타 낙농제품 제조업,충남 청양군,중기업
73,2016,2016-06-24,1000000000,전환사채,C25121,산업용 난방보일러 및 방열기 제조업,경북 경산시,소기업
74,2016,2016-06-24,450000000,우선주,C26329,기타 주변기기 제조업,대전 유성구,소기업
75,2016,2016-06-27,500000000,전환사채,C30399,그 외 자동차용 신품 부품 제조업,충남 아산시,중기업
76,2016,2016-06-27,550000000,우선주,C25914,그 외 금속 압형제품 제조업,충남 당진시,소기업
77,2016,2016-06-27,700000000,우선주,C17129,기타 종이 및 판지 제조업,충남 아산시,소기업
78,2016,2016-06-29,1000000000,전환사채,C13221,침구 및 관련제품 제조업,경기 용인시,중기업
79,2016,2016-06-30,1000000000,전환사채,C30310,자동차 엔진용 신품 부품 제조업,경기 화성시,중기업
80,2016,2016-06-30,999960000,우선주,C27215,기기용 자동측정 및 제어장치 제조업,경남 창원시,소기업
81,2016,2016-08-26,500000000,우선주,C23994,암면 및 유사제품 제조업,전북 정읍시,소기업
82,2016,2016-08-31,1000000000,전환사채,C22251,폴리스티렌 발포 성형제품 제조업,경북 구미시,중기업
83,2016,2016-09-06,1000000000,전환사채,C24222,"알루미늄 압연, 압출 및 연신제품 제조업",울산 울주군,중기업
84,2016,2016-10-11,499975000,우선주,C10802,단미 사료 및 기타 사료 제조업,경기 광주시,소기업
85,2016,2016-10-11,500000000,우선주,C29299,그 외 기타 특수목적용 기계 제조업,인천 연수구,소기업
86,2016,2016-10-12,700000000,우선주,C26429,기타 무선 통신장비 제조업,경기 성남시,소기업
87,2016,2016-10-13,499980000,우선주,C20313,유기질 비료 및 상토 제조업,전남 무안군,소기업
88,2016,2016-10-21,800000000,우선주,J62010,컴퓨터 프로그래밍 서비스업,서울 강남구,소기업
89,2016,2016-10-26,1000000000,전환사채,G46323,"빵류, 과자류, 당류, 초콜릿 도매업",서울 용산구,중기업
90,2016,2016-11-04,490000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 금천구,소기업
91,2016,2016-11-15,1000000000,전환사채,C26291,전자축전기 제조업,광주 북구,중기업
92,2016,2016-11-21,700000000,전환사채,C28511,주방용 전기기기 제조업,경기 시흥시,소기업
93,2016,2016-11-30,1499994000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 구로구,중기업
94,2016,2016-12-06,999990000,우선주,C23311,시멘트 제조업,충남 당진시,중기업
95,2016,2016-12-06,990000000,우선주,C30399,그 외 자동차용 신품 부품 제조업,경기 평택시,중기업
96,2016,2016-12-08,1000000000,전환사채,C29271,반도체 제조용 기계 제조업,경기 평택시,소기업
97,2016,2016-12-08,500000000,전환사채,J58221,시스템 소프트웨어 개발 및 공급업,서울 구로구,소기업
98,2016,2016-12-09,500000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 성동구,소기업
99,2016,2016-12-09,1000000000,우선주,C22251,폴리스티렌 발포 성형제품 제조업,충북 청주시,중기업
100,2016,2016-12-09,1000000000,전환사채,C26129,기타 반도체소자 제조업,충남 천안시,소기업
101,2016,2016-12-21,500000000,전환사채,C22259,기타 플라스틱 발포 성형제품 제조업,경기 양주시,중기업
102,2016,2016-12-27,420000000,우선주,J58221,시스템 소프트웨어 개발 및 공급업,서울 서초구,소기업
103,2017,2017-01-12,1000000000,전환사채,C30331,자동차용 신품 동력전달장치 제조업,경북 영주시,소기업
104,2017,2017-03-30,1000000000,우선주,C26299,그 외 기타 전자부품 제조업,충남 아산시,소기업
105,2017,2017-04-03,500000000,우선주,J62021,컴퓨터시스템 통합 자문 및 구축 서비스업,경기 성남시,소기업
106,2017,2017-04-06,1000000000,우선주,M70121,전기ㆍ전자공학 연구개발업,경북 구미시,소기업
107,2017,2017-04-10,999972000,우선주,C25993,금속 위생용품 제조업,인천 서구,소기업
108,2017,2017-05-11,1199997920,우선주,J58221,시스템 소프트웨어 개발 및 공급업,서울 강남구,소기업
109,2017,2017-05-12,1000000000,우선주,C22241,운송장비 조립용 플라스틱제품 제조업,인천 서구,소기업
110,2017,2017-05-19,1500000000,우선주,C33309,기타 운동 및 경기용구 제조업,경기 고양시,소기업
111,2017,2017-05-19,1000000000,우선주,F42311,일반전기 공사업,전남 나주시,중기업
112,2017,2017-05-25,300000000,우선주,C27199,그 외 기타 의료용 기기 제조업,충북 청주시,소기업
113,2017,2017-05-26,1000000000,우선주,G47911,전자상거래 소매 중개업,서울 마포구,소기업
114,2017,2017-05-31,999988000,우선주,J63991,데이터베이스 및 온라인정보 제공업,서울 구로구,소기업
115,2017,2017-06-19,1300000000,전환사채,G46464,운동 및 경기용품 도매업,서울 마포구,중기업
116,2017,2017-06-22,1000000000,전환사채,C23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,충남 서산시,소기업
117,2017,2017-06-22,499997000,우선주,C22259,기타 플라스틱 발포 성형제품 제조업,경기 안산시,소기업
118,2017,2017-06-23,1500000000,전환사채,C22251,폴리스티렌 발포 성형제품 제조업,경기 평택시,소기업
119,2017,2017-06-23,999915000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 강남구,소기업
120,2017,2017-06-28,499995000,우선주,C27216,산업처리공정 제어장비 제조업,서울 구로구,소기업
121,2017,2017-06-29,300000000,우선주,N75290,기타 여행 보조 및 예약 서비스업,서울 중구,소기업
122,2017,2017-06-28,300000000,우선주,J63991,데이터베이스 및 온라인정보 제공업,서울 금천구,소기업
123,2017,2017-06-29,300000000,우선주,C33409,기타 오락용품 제조업,부산 강서구,소기업
124,2017,2017-06-28,300000000,우선주,K66199,그 외 기타 금융 지원 서비스업,서울 종로구,소기업
125,2017,2017-06-28,299995300,우선주,J58111,교과서 및 학습서적 출판업,서울 강동구,소기업
126,2017,2017-06-28,300000000,우선주,C13104,연사 및 가공사 제조업,경북 경산시,중기업
127,2017,2017-06-28,300000000,전환사채,C25112,구조용 금속 판제품 및 공작물 제조업,전남 순천시,중기업
128,2017,2017-06-29,300000000,우선주,C20499,그 외 기타 분류 안된 화학제품 제조업,경기 안산시,소기업
129,2017,2017-06-28,300000000,우선주,C29299,그 외 기타 특수목적용 기계 제조업,전북 전주시,소기업
130,2017,2017-06-28,156480000,우선주,J62021,컴퓨터시스템 통합 자문 및 구축 서비스업,대전 서구,소기업
131,2017,2017-06-29,270000000,우선주,M72919,"기타 기술 시험, 검사 및 분석업",경기 성남시,소기업
132,2017,2017-07-27,1500000000,우선주,G46413,남녀용 겉옷 및 셔츠 도매업,서울 강남구,중기업
133,2017,2017-07-27,1500000000,우선주,C29224,금속 성형기계 제조업,경기 안산시,소기업
134,2017,2017-08-16,500000000,우선주,C29299,그 외 기타 특수목적용 기계 제조업,인천 서구,중기업
135,2017,2017-09-08,300000000,우선주,C28123,배전반 및 전기 자동제어반 제조업,서울 금천구,소기업
136,2017,2017-09-22,300000000,우선주,C20423,화장품 제조업,대구 중구,소기업
137,2017,2017-09-22,249960000,우선주,C33309,기타 운동 및 경기용구 제조업,대전 유성구,소기업
138,2017,2017-09-28,300000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 서대문구,소기업
139,2017,2017-09-28,300000000,우선주,J63991,데이터베이스 및 온라인정보 제공업,서울 서초구,소기업
140,2017,2017-09-26,300000000,우선주,C26212,유기발광 표시장치 제조업,경기 화성시,소기업
141,2017,2017-09-28,500000000,우선주,C22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",서울 금천구,소기업
142,2017,2017-09-29,300000000,우선주,C29280,산업용 로봇 제조업,경기 성남시,소기업
143,2017,2017-10-12,500000000,전환사채,C22291,플라스틱 접착처리 제품 제조업,경기 광명시,중기업
144,2017,2017-10-13,1499960000,우선주,C26295,전자감지장치 제조업,서울 영등포구,소기업
145,2017,2017-10-17,600000000,우선주,C21210,완제 의약품 제조업,충북 청주시,소기업
146,2017,2017-10-17,1499998500,우선주,C30332,자동차용 신품 전기장치 제조업,경기 여주시,중기업
147,2017,2017-10-18,999975000,우선주,C26129,기타 반도체소자 제조업,인천 연수구,소기업
148,2017,2017-10-18,300000000,우선주,C25112,구조용 금속 판제품 및 공작물 제조업,전남 장성군,소기업
149,2017,2017-10-31,200000000,우선주,J58221,시스템 소프트웨어 개발 및 공급업,서울 마포구,소기업
150,2017,2017-11-07,150043000,우선주,C29280,산업용 로봇 제조업,대전 서구,소기업
151,2017,2017-11-16,300000000,우선주,J62010,컴퓨터 프로그래밍 서비스업,서울 마포구,소기업
152,2017,2017-11-15,300000000,우선주,N75290,기타 여행 보조 및 예약 서비스업,제주 제주시,소기업
153,2017,2017-11-22,1499940000,우선주,C29223,금속 절삭기계 제조업,경남 함안군,중기업
154,2017,2017-11-24,499950000,우선주,C26299,그 외 기타 전자부품 제조업,충남 천안시,소기업
155,2017,2017-11-29,1000000000,전환사채,C30320,자동차 차체용 신품 부품 제조업,경기 안양시,중기업
